company,website
BAE,https://www.baesystems.com/
Elbit,https://www.elbitsystems.com/
Thales,https://www.thalesgroup.com/
Red6,https://www.red6.com/
Anduril Industries,https://www.anduril.com/
Boeing Defense,https://www.boeing.com/defense
Collins Aerospace,https://www.collinsaerospace.com/
Collins Elbit Systems,https://www.collinselbitsystems.com/
Cubic Corporation,https://www.cubic.com/
General Dynamics,https://www.gd.com/
Honeywell Aerospace,https://aerospace.honeywell.com/
L3Harris Technologies,https://www.l3harris.com/
Leonardo S.p.A.,https://www.leonardocompany.com/
Lockheed Martin,https://www.lockheedmartin.com/
Northrop Grumman,https://www.northropgrumman.com/
Palantir Technologies,https://www.palantir.com/
Raytheon Technologies,https://www.rtx.com/
RTX,https://www.rtx.com/
